Nuevo Estadio de Los Cármenes;1943;16 de mayo de 1995
Estadio de La Romareda;33608;8 de septiembre de 1957 (64 años)
Camp Nou;9935;24 de septiembre de 1957 (64 años)
¿¿¿???;¿¿¿???;¿¿¿???
Estadio Metropolitano (Madrid);0Expr;4 de septiembre de 1994(Estadio de Madrid)16 de septiembre de 2017(Estadio Metropolitano)
Estadio Ciudad de Valencia;26354;1969
¿¿¿???;¿¿¿???;¿¿¿???
¿¿¿???;¿¿¿???;¿¿¿???
Estadio El Molinón;3000;c. 1908[2]​
Estadio Benito Villamarín;6072;17 de marzo de 1929 (92 años)
Nuevo Estadio Castalia;1550;17 de junio de 1987
Estadio Santiago Bernabéu;8104;14 de diciembre de 1947 (74 años)[3]​
Estadio de Balaídos;29000;30 de diciembre de 1928 (93 años)
Estadio de San Mamés;5333;16 de septiembre de 2013 (8 años)[5]​
¿¿¿???;¿¿¿???;¿¿¿???
RCDE Stadium;4050;2 de agosto de 2009 (12 años)
Estadio de Son Moix;20500;3 de julio de 1999
Estadio de Vallecas;14708;6 de junio de 1976 (45 años)
Estadio de Lasesarre;7960;30 de septiembre de 2003
Estadio de Pasarón;12000;1965
Estadio Narcís Sala;6570;19 de marzo de 1970
Nou Estadi de Tarragona;14591;2 de febrero de 1972 (50 años)
Estadio Martínez Valero;33732;8 de septiembre de 1976 (45 años)
Estadio Municipal Reino de León;13451;20 de mayo de 2001 (20 años)
Estadio Ramón Sánchez-Pizjuán;4388;7 de septiembre de 1958 (63 años)
Estadio Heliodoro Rodríguez López;2294;25 de julio de 1925 (96 años)
Estadio José Zorrilla;27618;20 de febrero de 1982 (40 años)
Estadio José Rico Pérez;30000;3 de agosto de 1974 (47 años)
Estadio Enrique Roca de Murcia;31179;11 de octubre de 2006 (15 años)
Estadio Nuevo Mirandilla;20724;3 de septiembre de 1955
Nova Creu Alta;11981;20 de agosto de 1967
Estadio Nuevo Arcángel;2182;7 de noviembre de 1993[4]​
Estadio Las Gaunas;16666;28 de febrero de 2002
Estadio El Sadar;2357;2 de septiembre de 1967 (54 años)
¿¿¿???;¿¿¿???;¿¿¿???
Estadio Helmántico;17341;8 de abril de 1970 (51 años)
Estadio Nuevo Colombino;21670;8 de noviembre de 2001
Estadio de Mendizorroza;19840;27 de abril de 1924 (97 años)
Estadio Olímpico de Tarrasa;1150;1960
Estadio Ciudad de Puertollano;7240;Noviembre de 2010
Estadio de la Victoria;12569;29 de agosto de 2001
Estadio Cerro del Espino;3800;1995Reformado en 2018
Estadio de A Malata;12043;29 de agosto de 1993
Estadio Nuevo Mirador;7300;1999
Estadio Municipal Alfonso Murube;6500;1933[1]​
Estadio Cartagonova;15105;7 de febrero de 1988
Estadio Municipal de Chapín;20523;28 de junio de 1988 (33 años)
Campo Municipal de Las Llanas;4367;9 de septiembre de 1923 (98 años)
Estadio Carlos Belmonte;18000;9 de septiembre de 1960
¿¿¿???;¿¿¿???;¿¿¿???
¿¿¿???;¿¿¿???;¿¿¿???
Estadio Municipal de Ipurúa;816;14 de septiembre de 1947
¿¿¿???;¿¿¿???;¿¿¿???
Estadio Román Suárez Puerta;5400;26 de septiembre de 1943
Estadio Romano;14537;24 de mayo de 1953 (68 años)
Estadio Verónica Boquete de San Lázaro;1200;24 de junio de 1993
Estadio Nuevo Vivero;14898;2 de diciembre de 1998 (23 años)
Estadio La Veigona;1500;8 de junio de 1952 (69 años)
¿¿¿???;¿¿¿???;¿¿¿???
Estadio Municipal de Butarque;12454;14 de febrero de 1998 (24 años)
Estadio Francisco de la Hera;11580;Antiguo: 12 de octubre de 1951 (70 años) 

                Nuevo: 9 de septiembre de 1996 (25 años)
Estadio de los Juegos Mediterráneos;1527;31 de julio de 2004
Nuevo Estadio Los Pajaritos;826;14 de enero de 1999 (23 años)
Estadio Vivar Téllez;3000;18 de julio de 1951
Estadio de Gran Canaria;3239;8 de mayo de 2003 (18 años)
Estadio El Toralín;8432;5 de septiembre de 2000 (21 años)
Estadio Municipal de Montilivi;11286;14 de agosto de 1970 51 años
Estadio El Alcoraz;9128;16 de enero de 1972
¿¿¿???;¿¿¿???;¿¿¿???
Estadio Santo Domingo;510;1999
Campo de fútbol Pedro Escartín;6500;17 de septiembre de 1967
Estadio El Collao;4850;1921
Estadio Municipal de Anduva;5759;22 de enero de 1950 (72 años)
