puntuacion,puesto,golesAF,golesEC,partidosGanados,partidosPerdidos,equipo,temporada,división
68,0,49,29,20,6,At. Madrid,1973,1ª
64,1,41,21,18,6,Barcelona,1973,1ª
62,2,48,27,17,6,Espanyol,1973,1ª
60,3,45,29,17,8,Real Madrid,1973,1ª
48,4,44,38,13,12,Castellón,1973,1ª
46,5,37,33,12,12,Valencia,1973,1ª
45,6,41,38,12,13,Ath. Bilbao,1973,1ª
44,7,33,29,11,12,Málaga (C.D.),1973,1ª
44,8,36,36,10,10,Zaragoza,1973,1ª
42,9,38,44,11,14,Las Palmas,1973,1ª
40,10,32,37,11,16,Sporting Gijón,1973,1ª
39,11,30,37,10,15,Celta,1973,1ª
39,12,33,44,9,13,Oviedo,1973,1ª
38,13,25,32,9,14,Granada,1973,1ª
35,14,29,36,7,13,Betis,1973,1ª
34,15,22,44,7,14,Dptivo. Coruña,1973,1ª
33,16,36,63,9,19,Burgos,1973,1ª
78,0,61,26,24,8,Murcia,1973,2ª
70,1,48,28,20,8,Elche,1973,2ª
68,2,41,37,20,10,Rac. Santander,1973,2ª
60,3,45,29,16,10,Sevilla,1973,2ª
57,4,42,32,15,11,Valladolid,1973,2ª
55,5,42,39,16,15,Hércules,1973,2ª
54,6,37,33,15,14,Mallorca,1973,2ª
54,7,49,51,14,12,Sant Andreu,1973,2ª
53,8,43,48,14,13,Barakaldo,1973,2ª
53,9,51,45,14,13,Cádiz,1973,2ª
52,10,58,50,15,16,Rayo Vallecano,1973,2ª
48,11,45,46,13,16,Córdoba,1973,2ª
48,12,45,50,12,14,Sabadell,1973,2ª
47,13,32,49,13,17,Osasuna,1973,2ª
45,14,35,48,12,17,Gimn. Tarragona,1973,2ª
40,15,37,53,10,18,Cult. Leonesa,1973,2ª
40,16,37,50,10,18,Pontevedra,1973,2ª
38,17,40,48,8,16,Logroñés,1973,2ª
71,0,75,24,21,5,Barcelona,1974,1ª
60,1,50,31,18,10,At. Madrid,1974,1ª
56,2,51,38,16,10,Zaragoza,1974,1ª
55,3,46,45,16,11,Real Sociedad,1974,1ª
52,4,35,31,15,12,Ath. Bilbao,1974,1ª
48,5,34,35,12,10,Granada,1974,1ª
47,6,48,38,13,13,Real Madrid,1974,1ª
47,7,34,38,13,13,Espanyol,1974,1ª
47,8,28,35,14,15,Las Palmas,1974,1ª
46,9,41,33,13,14,Valencia,1974,1ª
43,10,49,59,13,17,Sporting Gijón,1974,1ª
42,11,43,49,12,16,Celta,1974,1ª
40,12,25,33,11,16,Elche,1974,1ª
39,13,27,37,10,15,Murcia,1974,1ª
38,14,28,46,9,14,Castellón,1974,1ª
35,15,36,54,8,15,Rac. Santander,1974,1ª
33,16,29,52,9,19,Oviedo,1974,1ª
70,0,69,31,19,6,Betis,1974,2ª
69,1,51,34,20,9,Hércules,1974,2ª
68,2,53,39,20,10,Salamanca,1974,2ª
65,3,57,41,19,11,Tenerife,1974,2ª
64,4,52,37,18,10,Cádiz,1974,2ª
57,5,46,40,16,13,Gimn. Tarragona,1974,2ª
57,6,61,50,16,13,Valladolid,1974,2ª
55,7,47,38,16,15,Sant Andreu,1974,2ª
54,8,58,58,16,16,Córdoba,1974,2ª
54,9,48,40,15,14,Sevilla,1974,2ª
53,10,49,52,14,13,Barakaldo,1974,2ª
51,11,36,32,12,11,Mallorca,1974,2ª
51,12,43,45,13,13,Ourense,1974,2ª
47,13,39,51,14,19,Rayo Vallecano,1974,2ª
45,14,34,44,13,19,Burgos,1974,2ª
39,15,30,56,11,21,Dptivo. Coruña,1974,2ª
38,16,36,63,10,20,Osasuna,1974,2ª
37,17,37,48,10,21,Levante,1974,2ª
70,0,66,34,20,4,Real Madrid,1975,1ª
53,1,58,47,15,11,Zaragoza,1975,1ª
52,2,57,36,15,12,Barcelona,1975,1ª
48,3,37,32,12,10,Real Sociedad,1975,1ª
48,4,35,41,14,14,Betis,1975,1ª
47,5,37,36,11,9,Hércules,1975,1ª
47,6,38,47,14,15,Espanyol,1975,1ª
47,7,35,44,13,13,Elche,1975,1ª
46,8,40,42,13,14,Ath. Bilbao,1975,1ª
46,9,46,34,11,10,At. Madrid,1975,1ª
45,10,33,29,10,9,Salamanca,1975,1ª
44,11,41,39,12,14,Las Palmas,1975,1ª
44,12,33,42,13,16,Málaga (C.D.),1975,1ª
44,13,53,48,12,14,Valencia,1975,1ª
43,14,40,40,11,13,Sporting Gijón,1975,1ª
40,15,30,41,10,14,Celta,1975,1ª
30,16,31,66,7,18,Murcia,1975,1ª
73,0,49,34,21,7,Rac. Santander,1975,2ª
73,1,58,27,22,9,Sevilla,1975,2ª
70,2,52,29,18,4,Oviedo,1975,2ª
65,3,59,34,19,11,Córdoba,1975,2ª
61,4,54,43,18,13,Cádiz,1975,2ª
59,5,48,39,17,13,Castellón,1975,2ª
54,6,47,47,16,16,Rayo Vallecano,1975,2ª
52,7,54,46,14,14,Burgos,1975,2ª
51,8,46,52,13,13,Barcelona B,1975,2ª
51,9,50,56,15,17,Tenerife,1975,2ª
51,10,35,31,12,11,Sant Andreu,1975,2ª
48,11,48,45,12,14,Valladolid,1975,2ª
47,12,39,43,12,15,Rec. Huelva,1975,2ª
46,13,35,45,13,18,Alavés,1975,2ª
46,14,34,36,11,14,Gimn. Tarragona,1975,2ª
45,15,33,54,12,17,Barakaldo,1975,2ª
41,16,30,44,9,15,Ourense,1975,2ª
34,17,54,69,8,20,Sabadell,1975,2ª
68,0,54,26,20,6,Real Madrid,1976,1ª
61,1,61,41,18,9,Barcelona,1976,1ª
60,2,60,38,18,10,At. Madrid,1976,1ª
58,3,48,45,18,12,Espanyol,1976,1ª
53,4,43,38,14,9,Ath. Bilbao,1976,1ª
50,5,34,50,15,14,Betis,1976,1ª
46,6,45,56,14,16,Rac. Santander,1976,1ª
46,7,31,33,12,12,Salamanca,1976,1ª
46,8,45,45,12,12,Real Sociedad,1976,1ª
45,9,35,39,13,15,Sevilla,1976,1ª
44,10,43,41,12,14,Valencia,1976,1ª
42,11,39,43,12,16,Las Palmas,1976,1ª
41,12,45,43,11,15,Zaragoza,1976,1ª
38,13,41,45,11,18,Oviedo,1976,1ª
36,14,38,49,8,14,Elche,1976,1ª
34,15,29,50,8,16,Granada,1976,1ª
31,16,41,46,7,17,Sporting Gijón,1976,1ª
71,0,54,31,20,7,Burgos,1976,2ª
68,1,42,22,19,8,Celta,1976,2ª
68,2,75,39,21,12,Málaga (C.D.),1976,2ª
60,3,47,36,18,14,Dptivo. Coruña,1976,2ª
59,4,44,27,16,11,Valladolid,1976,2ª
54,5,48,48,16,16,Córdoba,1976,2ª
54,6,50,44,14,12,Tenerife,1976,2ª
54,7,46,47,13,10,Barcelona B,1976,2ª
52,8,48,49,16,18,Rayo Vallecano,1976,2ª
49,9,35,42,13,15,Rec. Huelva,1976,2ª
49,10,38,45,14,17,Sant Andreu,1976,2ª
48,11,46,43,13,16,Cádiz,1976,2ª
48,12,45,47,12,14,Castellón,1976,2ª
47,13,47,58,14,19,Osasuna,1976,2ª
47,14,46,61,14,19,Murcia,1976,2ª
46,15,35,45,12,16,Terrassa,1976,2ª
46,16,33,46,12,16,Alavés,1976,2ª
44,17,31,46,11,16,Ensidesa,1976,2ª
65,0,62,33,19,7,At. Madrid,1977,1ª
63,1,69,34,18,7,Barcelona,1977,1ª
53,2,55,45,15,11,Ath. Bilbao,1977,1ª
51,3,56,51,15,13,Las Palmas,1977,1ª
51,4,42,42,15,13,Betis,1977,1ª
50,5,61,59,14,12,Espanyol,1977,1ª
49,6,53,47,13,11,Valencia,1977,1ª
47,7,54,41,13,13,Real Sociedad,1977,1ª
46,8,46,50,14,16,Burgos,1977,1ª
46,9,57,53,12,12,Real Madrid,1977,1ª
45,10,30,34,13,15,Salamanca,1977,1ª
45,11,32,39,11,11,Sevilla,1977,1ª
44,12,45,47,11,12,Elche,1977,1ª
43,13,35,41,11,13,Hércules,1977,1ª
43,14,41,62,12,15,Rac. Santander,1977,1ª
40,15,42,51,10,14,Zaragoza,1977,1ª
24,16,27,60,6,22,Málaga (C.D.),1977,1ª
65,0,62,35,18,9,Sporting Gijón,1977,2ª
63,1,60,42,17,9,Cádiz,1977,2ª
62,2,46,34,17,10,Rayo Vallecano,1977,2ª
61,3,48,43,18,13,Oviedo,1977,2ª
58,4,42,32,15,10,Jaén,1977,2ª
55,5,48,48,15,13,Tenerife,1977,2ª
54,6,57,42,14,12,Alavés,1977,2ª
53,7,44,34,13,11,Terrassa,1977,2ª
52,8,42,50,14,14,Rec. Huelva,1977,2ª
50,9,57,56,14,16,Valladolid,1977,2ª
50,10,42,39,14,16,Granada,1977,2ª
49,11,46,45,14,17,Castellón,1977,2ª
48,12,39,56,14,18,Calvo Sotelo,1977,2ª
47,13,37,48,12,15,Getafe,1977,2ª
47,14,40,50,11,13,Dptivo. Coruña,1977,2ª
45,15,39,45,10,13,Córdoba,1977,2ª
44,16,34,44,10,14,Pontevedra,1977,2ª
43,17,39,52,10,15,Sant Andreu,1977,2ª
69,0,77,40,22,9,Real Madrid,1978,1ª
57,1,49,29,16,9,Barcelona,1978,1ª
56,2,62,36,16,10,Ath. Bilbao,1978,1ª
55,3,54,33,16,11,Valencia,1978,1ª
54,4,53,43,15,10,Sporting Gijón,1978,1ª
52,5,61,52,16,14,At. Madrid,1978,1ª
48,6,37,40,14,14,Salamanca,1978,1ª
47,7,43,41,12,11,Las Palmas,1978,1ª
47,8,38,45,13,13,Sevilla,1978,1ª
45,9,52,46,12,13,Real Sociedad,1978,1ª
45,10,50,59,12,13,Rayo Vallecano,1978,1ª
42,11,29,45,11,14,Rac. Santander,1978,1ª
41,12,33,47,10,13,Burgos,1978,1ª
41,13,51,52,11,15,Betis,1978,1ª
40,14,32,40,10,14,Hércules,1978,1ª
38,15,44,66,11,18,Elche,1978,1ª
29,16,30,69,7,19,Cádiz,1978,1ª
70,0,68,46,20,8,Zaragoza,1978,2ª
64,1,51,33,18,10,Rec. Huelva,1978,2ª
61,2,53,51,17,11,Barakaldo,1978,2ª
61,3,51,31,15,7,Celta,1978,2ª
