Linares;Linares Deportivo;Linares Deportivo;Linares;1956;Estadio Municipal de Linarejos;https://es.wikipedia.org/wiki/Linares_Deportivo;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Linarejos
Ensidesa;Club Deportivo Ensidesa;Club Deportivo Ensidesa;Avilés;1956;Estadio de Santa Bárbara;https://es.wikipedia.org/wiki/Club_Deportivo_Ensidesa;
Palencia;Club de Fútbol Palencia;Club de Fútbol Palencia;Palencia;1975;Nuevo La Balastera;https://es.wikipedia.org/wiki/Club_de_F%C3%BAtbol_Palencia;https://es.wikipedia.org/wiki/Estadio_Nueva_Balastera
Alzira;Unión Deportiva Alzira;Unión Deportiva Alzira;Alcira;1946;Estadio Luis Suñer Picó;https://es.wikipedia.org/wiki/Uni%C3%B3n_Deportiva_Alzira;
Mollerussa;Club de Fútbol Joventut Mollerussa;Club de Fútbol Joventut Mollerussa;Mollerusa;1968;Campo Municipal de Deportes de Mollerusa - Mollerusa - Lérida - España;https://es.wikipedia.org/wiki/Club_de_F%C3%BAtbol_Joventut_Mollerussa;
Orihuela;Orihuela Club de Fútbol;Orihuela Club de Fútbol;Orihuela;1993;Los Arcos;https://es.wikipedia.org/wiki/Orihuela_Club_de_F%C3%BAtbol;
Marbella;Marbella Fútbol Club;Unión Deportiva Marbella;Marbella;1997;Estadio Municipal Antonio Lorenzo Cuevas;https://es.wikipedia.org/wiki/Marbella_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Estadio_Municipal_Antonio_Lorenzo_Cuevas
Toledo;Club Deportivo Toledo;Club Deportivo Toledo;Toledo;1939;Salto del Caballo;https://es.wikipedia.org/wiki/Club_Deportivo_Toledo;https://es.wikipedia.org/wiki/Estadio_Salto_del_Caballo
Écija;Écija Balompié;Écija Balompié;Écija;1939;San Pablo;https://es.wikipedia.org/wiki/%C3%89cija_Balompi%C3%A9;https://es.wikipedia.org/wiki/Estadio_San_Pablo
Granada 74;Granada 74 Club de Fútbol;Granada 74 Club de Fútbol;Motril;1999;Estadio La Victoria;https://es.wikipedia.org/wiki/Granada_74_Club_de_F%C3%BAtbol;
Vecindario;Unión Deportiva Vecindario;Unión Deportiva Vecindario;Santa Lucía de Tirajana;1962;Municipal de Vecindario;https://es.wikipedia.org/wiki/Uni%C3%B3n_Deportiva_Vecindario;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Vecindario
Llagostera;Unió Esportiva Costa Brava;Unió Esportiva Llagostera-Costa Brava;Palamós;1947;Nou Estadi de Palamós;https://es.wikipedia.org/wiki/Uni%C3%B3_Esportiva_Costa_Brava;https://es.wikipedia.org/wiki/Nou_Estadi_de_Palam%C3%B3s
