Granada; Granada Club de Fútbol;Club Recreativo Granada;Granada;1931;Nuevo Los Cármenes;https://es.wikipedia.org/wiki/Granada_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Nuevo_Los_C%C3%A1rmenes
Zaragoza; Real Zaragoza;Zaragoza Foot-Ball Club;Zaragoza;1932;La Romareda;https://es.wikipedia.org/wiki/Real_Zaragoza;https://es.wikipedia.org/wiki/La_Romareda
Barcelona; Fútbol Club Barcelona;Foot-Ball Club Barcelona;Barcelona;1899;Camp Nou;https://es.wikipedia.org/wiki/F%C3%BAtbol_Club_Barcelona;https://es.wikipedia.org/wiki/Camp_Nou
Dptivo. Coruña; Real Club Deportivo de La Coruña;Club Deportivo de la Sala Calvet;La Coruña;1906;Abanca-Riazor;https://es.wikipedia.org/wiki/Real_Club_Deportivo_de_La_Coru%C3%B1a;https://es.wikipedia.org/wiki/Estadio_de_Riazor
At. Madrid; Club Atlético de Madrid;Athletic Club (Sucursal de Madrid);Madrid;1903;Wanda Metropolitano;https://es.wikipedia.org/wiki/Club_Atl%C3%A9tico_de_Madrid;https://es.wikipedia.org/wiki/Estadio_Metropolitano_(Madrid)
Valencia; Levante Unión Deportiva;Levante Foot-Ball Club;Valencia;1909;Ciudad de Valencia;https://es.wikipedia.org/wiki/Levante_Uni%C3%B3n_Deportiva;https://es.wikipedia.org/wiki/Estadio_Ciudad_de_Valencia
Las Palmas; Sociedad Deportiva Tenisca;Tenisca Balompié;Santa Cruz de La Palma;1922;Virgen de las Nieves;https://es.wikipedia.org/wiki/Sociedad_Deportiva_Tenisca;https://es.wikipedia.org/wiki/Estadio_Virgen_de_las_Nieves
Oviedo; Pumarín Club de Futbol;Pumarín Club de Futbol;Oviedo;1917;Campo de fútbol Luis Oliver;https://es.wikipedia.org/wiki/Pumar%C3%ADn_Club_de_Futbol;https://es.wikipedia.org/w/index.php?title=Campo_de_f%C3%BAtbol_Luis_Oliver&action=edit&redlink=1
Sporting Gijón; Real Sporting de Gijón;Sporting Gijonés;Gijón;1905;Municipal El Molinón-Enrique Castro Quini;https://es.wikipedia.org/wiki/Real_Sporting_de_Gij%C3%B3n;https://es.wikipedia.org/wiki/Estadio_El_Molin%C3%B3n
Betis; Real Betis Balompié;Sevilla Balompié;Sevilla;1906;Benito Villamarín;https://es.wikipedia.org/wiki/Real_Betis_Balompi%C3%A9;https://es.wikipedia.org/wiki/Estadio_Benito_Villamar%C3%ADn
Castellón; Club Deportivo Castellón;Castellón Foot-Ball Club;Castellón de la Plana;1919;Nuevo Castalia;https://es.wikipedia.org/wiki/Club_Deportivo_Castell%C3%B3n;https://es.wikipedia.org/wiki/Nuevo_Estadio_Castalia
Real Madrid; Real Madrid Club de Fútbol;(Sociedad) Madrid Foot-Ball Club[n 5]​;Madrid;1900;Santiago Bernabéu;https://es.wikipedia.org/wiki/Real_Madrid_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Santiago_Bernab%C3%A9u
Celta; Real Club Celta de Vigo;Real Club Celta;Vigo;1923;Balaídos;https://es.wikipedia.org/wiki/Real_Club_Celta_de_Vigo;https://es.wikipedia.org/wiki/Bala%C3%ADdos
Espanyol; Real Club Deportivo Español;Sociedad Española de Foot-Ball;Barcelona;1900;RCDE Stadium;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Espa%C3%B1ol;https://es.wikipedia.org/wiki/RCDE_Stadium
Málaga (C.D.); Vélez Club de Fútbol;Sociedad Deportiva Vélez Football Club;Vélez-Málaga;1922;Estadio Vivar Téllez;https://es.wikipedia.org/wiki/V%C3%A9lez_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Vivar_T%C3%A9llez
Ath. Bilbao; Athletic Club;Athletic Club;Bilbao;1898;San Mamés;https://es.wikipedia.org/wiki/Athletic_Club;https://es.wikipedia.org/wiki/Estadio_de_San_Mam%C3%A9s_(2013)
Burgos; Real Burgos Club de Fútbol;Real Burgos Club de Fútbol;Burgos;1983;Pallafría;https://es.wikipedia.org/wiki/Real_Burgos_Club_de_F%C3%BAtbol;https://es.wikipedia.org/w/index.php?title=Campos_de_F%C3%BAtbol_de_Pallafr%C3%ADa&action=edit&redlink=1
Real Sociedad; Real Club Deportivo Español;Sociedad Española de Foot-Ball;Barcelona;1900;RCDE Stadium;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Espa%C3%B1ol;https://es.wikipedia.org/wiki/RCDE_Stadium
Mallorca; Real Club Deportivo Mallorca;(Sociedad) Alfonso XIII Foot-Ball Club;Palma de Mallorca;1916;Son Moix;https://es.wikipedia.org/wiki/Real_Club_Deportivo_Mallorca;https://es.wikipedia.org/wiki/Son_Moix
Rayo Vallecano; Rayo Vallecano de Madrid;Agrupación Deportiva El Rayo;Madrid;1924;Campo de Fútbol de Vallecas;https://es.wikipedia.org/wiki/Rayo_Vallecano_de_Madrid;https://es.wikipedia.org/wiki/Campo_de_F%C3%BAtbol_de_Vallecas
Barakaldo; Barakaldo Club de Fútbol;Baracaldo Foot-Ball Club;Baracaldo;1917;Nuevo Lasesarre;https://es.wikipedia.org/wiki/Barakaldo_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_de_Nuevo_Lasesarre
Pontevedra; Pontevedra Club de Fútbol;Pontevedra Club de Fútbol;Pontevedra;1941;Municipal de Pasarón;https://es.wikipedia.org/wiki/Pontevedra_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Municipal_de_Pasar%C3%B3n
Sant Andreu; Unió Esportiva Sant Andreu;Unió Esportiva Sant Andreu;Barcelona;1909;Narcís Sala;https://es.wikipedia.org/wiki/Uni%C3%B3_Esportiva_Sant_Andreu;https://es.wikipedia.org/wiki/Estadio_Narc%C3%ADs_Sala
Gimn. Tarragona; Club Gimnàstic de Tarragona;Club Gimnástico de Tarragona;Tarragona;1914;Nou Estadi;https://es.wikipedia.org/wiki/Club_Gimn%C3%A0stic_de_Tarragona;https://es.wikipedia.org/wiki/Nou_Estadi_de_Tarragona
Elche; Elche Club de Fútbol;Elche Foot-Ball Club;Elche;1922;Martínez Valero;https://es.wikipedia.org/wiki/Elche_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Mart%C3%ADnez_Valero
Cult. Leonesa; Cultural y Deportiva Leonesa;Cultural y Deportiva Leonesa;León;1923;Municipal Reino de León;https://es.wikipedia.org/wiki/Cultural_y_Deportiva_Leonesa;https://es.wikipedia.org/wiki/Estadio_Municipal_Reino_de_Le%C3%B3n
Sevilla; Sevilla Fútbol Club;Sevilla Foot-Ball Club;Sevilla;1890;Ramón Sánchez-Pizjuán;https://es.wikipedia.org/wiki/Sevilla_F%C3%BAtbol_Club;https://es.wikipedia.org/wiki/Estadio_Ram%C3%B3n_S%C3%A1nchez-Pizju%C3%A1n
Tenerife; Club Deportivo Tenerife;Sporting Club Tenerife;Santa Cruz de Tenerife;1912;Heliodoro Rodríguez López;https://es.wikipedia.org/wiki/Club_Deportivo_Tenerife;https://es.wikipedia.org/wiki/Estadio_Heliodoro_Rodr%C3%ADguez_L%C3%B3pez
Valladolid; Real Valladolid Club de Fútbol;Real Valladolid Deportivo;Valladolid;1928;José Zorrilla;https://es.wikipedia.org/wiki/Real_Valladolid_Club_de_F%C3%BAtbol;https://es.wikipedia.org/wiki/Estadio_Jos%C3%A9_Zorrilla
