"DIVISION","TEMPORADA","NUMJORNADA"
"1ª",1999,8
"2ª",1976,9
"1ª",2011,15
"2ª",2011,32
"1ª",1987,3
"1ª",2007,23
"2ª",2010,1
"2ª",2007,40
"2ª",1973,18
"1ª",1985,1
"2ª",1993,15
"1ª",1984,33
"1ª",1975,19
"1ª",2007,27
"1ª",1992,27
"2ª",2005,7
"1ª",1992,32
"1ª",1991,21
"2ª",1996,28
"2ª",2009,13
"1ª",2016,1
"2ª",1999,17
"1ª",2013,38
"1ª",1986,15
"2ª",2005,10
"1ª",1998,30
"2ª",2010,28
"1ª",1985,28
"1ª",1992,31
"1ª",1984,32
"1ª",2002,21
"1ª",1987,16
"2ª",2013,25
"2ª",1995,4
"1ª",2012,3
"1ª",2006,34
"2ª",2007,8
"1ª",2013,14
"2ª",1979,10
"1ª",1980,18
"2ª",1992,2
"2ª",1990,1
"1ª",1974,29
"1ª",1975,15
"2ª",1984,7
"2ª",1981,8
"2ª",2010,3
"1ª",2013,34
"1ª",1992,30
"1ª",1980,10
"1ª",2012,10
"2ª",2013,31
"2ª",1994,10
"2ª",1975,15
"2ª",1989,36
"1ª",1986,25
"2ª",1989,28
"1ª",1986,33
"1ª",1992,12
"2ª",2003,25
"2ª",1988,38
"Promoción a 1ª",1991,0
"1ª",2001,33
"2ª",2007,35
"2ª",1988,13
"2ª",1994,21
"2ª",1999,31
"1ª",2001,19
"2ª",1988,27
"1ª",2003,31
"1ª",2015,14
"2ª",1996,20
"1ª",1989,16
"2ª",2004,38
"2ª",2008,41
"2ª",1996,35
"1ª",1993,30
"2ª",2014,6
"2ª",1984,11
"1ª",1977,31
"2ª",1997,36
"2ª",1979,24
"2ª",1997,21
"1ª",1977,1
"2ª",2014,3
"2ª",1997,6
"1ª",2010,23
"1ª",1981,33
"2ª",1995,6
"1ª",2004,18
"1ª",1994,11
"2ª",2012,5
"2ª",1985,23
"2ª",1998,10
"1ª",1992,2
"2ª",1978,19
"2ª",2006,40
"2ª",2005,9
"1ª",2003,11
"2ª",1981,21
"1ª",2014,35
"2ª",1999,14
"2ª",1991,14
"2ª",2003,30
"2ª",1987,43
"1ª",2000,4
"2ª",2007,25
"1ª",1998,35
"2ª",1975,35
"1ª",1994,27
"2ª",2006,16
"2ª",1982,33
"1ª",2008,19
"1ª",2003,26
"1ª",2004,16
"1ª",1996,4
"2ª",1987,8
"2ª",1985,19
"2ª",2002,21
"1ª",1992,1
"1ª",2008,22
"2ª",2001,6
"2ª",1980,37
"1ª",1985,9
"2ª",1983,28
"2ª",1977,35
"2ª",1975,4
"2ª",1986,37
"2ª",2012,4
"1ª",1982,15
"2ª",1978,1
"2ª",1983,15
"1ª",1974,18
"1ª",1987,7
"2ª",1988,36
"Promoción a 1ª",1998,0
"1ª",2004,38
"2ª",1986,17
"1ª",2008,17
"2ª",1973,37
"1ª",2012,21
"1ª",2002,8
"1ª",1996,28
"2ª",2002,7
"2ª",2003,23
"1ª",2005,17
"2ª",1989,10
"1ª",1979,24
"1ª",1984,16
"2ª",2008,12
"1ª",1983,24
"1ª",1973,19
"1ª",1997,37
"1ª",1996,9
"2ª",2006,9
"2ª",1979,21
"1ª",1997,16
"1ª",1983,28
"2ª",1973,7
"2ª",2005,20
"1ª",1986,14
"2ª",1980,8
"1ª",1982,19
"2ª",2004,5
"1ª",2005,25
"1ª",2007,18
"1ª",1977,12
"1ª",1983,9
"2ª",2002,10
"2ª",2001,16
"1ª",1986,11
"2ª",2007,22
"2ª",2015,6
"1ª",1973,32
"1ª",1988,2
"2ª",2013,32
"1ª",1985,19
"2ª",2010,18
"1ª",2011,37
"2ª",1996,32
"2ª",1974,2
"1ª",1994,21
"1ª",2009,9
"1ª",1986,4
"1ª",1999,16
"1ª",1992,16
"1ª",1991,12
"2ª",1995,18
"1ª",2003,15
"1ª",2008,20
"1ª",2013,6
"1ª",1984,22
"2ª",1982,23
"2ª",1993,38
"1ª",1997,9
"1ª",1978,13
"1ª",1991,31
"1ª",1995,1
"1ª",2006,12
"1ª",2011,31
"2ª",2004,9
"1ª",1978,8
"2ª",2003,35
"1ª",1975,25
"1ª",2013,9
"2ª",1988,21
"1ª",1985,20
"2ª",2004,1
"2ª",1982,14
"1ª",1997,8
"2ª",1999,27
"2ª",1978,15
"1ª",1984,31
"1ª",1996,42
"2ª",1987,7
"1ª",1983,1
"1ª",1981,22
"2ª",2011,14
"2ª",1994,8
"2ª",2013,41
"1ª",1988,12
"1ª",2012,14
"2ª",1991,37
"2ª",1973,8
"1ª",1993,7
"1ª",2004,15
"1ª",1983,16
"1ª",2001,2
"1ª",1975,16
"2ª",1979,31
"2ª",1979,32
"1ª",1990,35
"1ª",1997,33
"2ª",2015,5
"1ª",2001,13
"2ª",2015,37
"1ª",1997,2
"2ª",1984,5
"2ª",1999,34
"1ª",1979,32
"2ª",2003,40
"1ª",1991,27
"1ª",1982,10
"2ª",1987,9
"2ª",1989,15
"2ª",2014,17
"1ª",1991,30
"2ª",1986,25
"1ª",1999,37
"1ª",1988,19
"1ª",1996,25
"1ª",1988,8
"1ª",1997,4
"1ª",2007,15
"2ª",1983,22
"2ª",1979,11
"2ª",2016,11
"1ª",1976,11
"1ª",1984,17
"2ª",2015,39
"2ª",2009,5
"1ª",1987,26
"1ª",2015,23
"2ª",1981,5
"2ª",2002,16
"2ª",2004,29
"2ª",2014,25
"2ª",1982,9
"2ª",2003,17
"1ª",1993,11
"2ª",2005,33
"1ª",1997,1
"1ª",1992,4
"1ª",1975,11
"1ª",1981,11
"1ª",1982,21
"1ª",1976,30
"2ª",1977,15
"1ª",2005,38
"2ª",1998,38
"2ª",2008,28
"Promoción a 1ª",2014,0
"2ª",1975,33
"2ª",1995,9
"2ª",1998,2
"1ª",1979,13
"2ª",1994,18
"2ª",1986,35
"1ª",2005,24
"2ª",1980,25
"1ª",1982,3
"1ª",1984,21
"2ª",1996,13
"2ª",1996,10
"2ª",1974,27
"1ª",2006,25
"1ª",1997,35
"1ª",1990,6
"2ª",1986,7
"2ª",1997,1
"2ª",2013,21
"1ª",2013,11
"1ª",1994,19
"2ª",2012,10
"1ª",1974,11
"2ª",1980,23
"1ª",1978,12
"1ª",1998,2
"1ª",1973,5
"1ª",1978,32
"2ª",2004,23
"1ª",1975,3
"2ª",1978,6
"2ª",2013,35
"1ª",2000,35
"2ª",1990,14
"2ª",2002,14
"1ª",1998,31
"2ª",1990,24
"1ª",2012,25
