"GOLESLOCAL","GOLESVISITANTE","LOCAL","VISITANTE","DIVISION","TEMPORADA","NUMJORNADA"
0,0,"Dptivo. Coruña","Zaragoza","1ª",1973,20
0,0,"Valencia","Granada","1ª",1973,20
0,0,"Oviedo","Barcelona","1ª",1973,20
1,0,"Betis","At. Madrid","1ª",1973,20
2,1,"Real Madrid","Las Palmas","1ª",1973,20
3,0,"Espanyol","Sporting Gijón","1ª",1973,20
1,1,"Ath. Bilbao","Castellón","1ª",1973,20
1,0,"Real Sociedad","Celta","1ª",1973,20
3,0,"Málaga (C.D.)","Burgos","1ª",1973,20
0,0,"Burgos","Dptivo. Coruña","1ª",1973,21
0,1,"Zaragoza","Valencia","1ª",1973,21
4,0,"Granada","Oviedo","1ª",1973,21
2,0,"Barcelona","Betis","1ª",1973,21
1,2,"At. Madrid","Real Madrid","1ª",1973,21
0,2,"Las Palmas","Espanyol","1ª",1973,21
2,0,"Sporting Gijón","Ath. Bilbao","1ª",1973,21
3,0,"Castellón","Real Sociedad","1ª",1973,21
1,0,"Celta","Málaga (C.D.)","1ª",1973,21
0,1,"Valencia","Dptivo. Coruña","1ª",1973,22
2,0,"Oviedo","Zaragoza","1ª",1973,22
0,0,"Betis","Granada","1ª",1973,22
0,0,"Real Madrid","Barcelona","1ª",1973,22
2,1,"Espanyol","At. Madrid","1ª",1973,22
1,0,"Ath. Bilbao","Las Palmas","1ª",1973,22
0,0,"Real Sociedad","Sporting Gijón","1ª",1973,22
1,1,"Málaga (C.D.)","Castellón","1ª",1973,22
1,0,"Celta","Burgos","1ª",1973,22
2,1,"Burgos","Valencia","1ª",1973,23
1,1,"Dptivo. Coruña","Oviedo","1ª",1973,23
3,2,"Zaragoza","Betis","1ª",1973,23
1,2,"Granada","Real Madrid","1ª",1973,23
0,1,"Barcelona","Espanyol","1ª",1973,23
2,1,"At. Madrid","Ath. Bilbao","1ª",1973,23
1,0,"Las Palmas","Real Sociedad","1ª",1973,23
2,0,"Sporting Gijón","Málaga (C.D.)","1ª",1973,23
5,1,"Castellón","Celta","1ª",1973,23
3,1,"Oviedo","Valencia","1ª",1973,24
2,0,"Betis","Dptivo. Coruña","1ª",1973,24
0,0,"Real Madrid","Zaragoza","1ª",1973,24
2,1,"Espanyol","Granada","1ª",1973,24
0,1,"Ath. Bilbao","Barcelona","1ª",1973,24
0,1,"Real Sociedad","At. Madrid","1ª",1973,24
0,1,"Málaga (C.D.)","Las Palmas","1ª",1973,24
3,0,"Celta","Sporting Gijón","1ª",1973,24
3,1,"Castellón","Burgos","1ª",1973,24
0,1,"Burgos","Oviedo","1ª",1973,25
2,0,"Valencia","Betis","1ª",1973,25
0,0,"Dptivo. Coruña","Real Madrid","1ª",1973,25
1,0,"Zaragoza","Espanyol","1ª",1973,25
0,0,"Granada","Ath. Bilbao","1ª",1973,25
1,0,"Barcelona","Real Sociedad","1ª",1973,25
1,1,"At. Madrid","Málaga (C.D.)","1ª",1973,25
0,0,"Las Palmas","Celta","1ª",1973,25
1,0,"Sporting Gijón","Castellón","1ª",1973,25
0,0,"Betis","Oviedo","1ª",1973,26
2,1,"Real Madrid","Valencia","1ª",1973,26
2,1,"Espanyol","Dptivo. Coruña","1ª",1973,26
1,0,"Ath. Bilbao","Zaragoza","1ª",1973,26
1,0,"Real Sociedad","Granada","1ª",1973,26
2,1,"Málaga (C.D.)","Barcelona","1ª",1973,26
0,1,"Celta","At. Madrid","1ª",1973,26
2,1,"Castellón","Las Palmas","1ª",1973,26
1,2,"Sporting Gijón","Burgos","1ª",1973,26
2,1,"Burgos","Betis","1ª",1973,27
1,2,"Oviedo","Real Madrid","1ª",1973,27
1,0,"Valencia","Espanyol","1ª",1973,27
2,1,"Dptivo. Coruña","Ath. Bilbao","1ª",1973,27
1,1,"Zaragoza","Real Sociedad","1ª",1973,27
2,0,"Granada","Málaga (C.D.)","1ª",1973,27
2,0,"Barcelona","Celta","1ª",1973,27
1,0,"At. Madrid","Castellón","1ª",1973,27
1,1,"Las Palmas","Sporting Gijón","1ª",1973,27
1,1,"Real Madrid","Betis","1ª",1973,28
3,0,"Espanyol","Oviedo","1ª",1973,28
2,0,"Ath. Bilbao","Valencia","1ª",1973,28
2,0,"Real Sociedad","Dptivo. Coruña","1ª",1973,28
2,1,"Málaga (C.D.)","Zaragoza","1ª",1973,28
