"PUNTOS","PUESTO","GOLESAF","GOLESEC","PARTIDOSGANADOS","PARTIDOSEMPATADOS","PARTIDOSPERDIDOS","ASCIENDE","DESCIENDE","EUROPA","EQUIPO","DIVISION","TEMPORADA","NUMJORNADA"
53,12,39,43,14,11,15,,,,"Rec. Huelva","2ª",1976,38
51,13,36,38,14,9,16,,,,"Tenerife","2ª",1976,38
49,14,42,51,13,10,15,,,,"Calvo Sotelo","2ª",1976,38
48,15,46,52,12,12,13,,,,"Barcelona B","2ª",1976,38
46,16,35,45,12,10,16,,,,"Terrassa","2ª",1976,38
44,17,31,46,11,11,16,,,,"Ensidesa","2ª",1976,38
43,18,35,45,12,7,18,,,,"Alavés","2ª",1976,38
42,19,44,38,11,9,12,,,,"Castellón","2ª",1976,38
39,20,35,48,10,9,17,,,,"Gimn. Tarragona","2ª",1976,38
74,1,49,29,22,8,6,,,1,"At. Madrid","1ª",1977,34
68,2,29,36,18,14,13,,,1,"Betis","1ª",1977,34
67,3,41,21,19,10,6,,,1,"Barcelona","1ª",1977,34
62,4,48,27,17,11,7,,,1,"Espanyol","1ª",1977,34
55,5,48,28,15,10,8,,,1,"Elche","1ª",1977,34
54,6,30,37,15,9,15,,,,"Celta","1ª",1977,34
54,7,38,44,15,9,14,,,,"Las Palmas","1ª",1977,34
54,8,45,29,15,9,8,,,,"Real Madrid","1ª",1977,34
53,9,41,37,15,8,12,,,,"Rac. Santander","1ª",1977,34
51,10,45,29,13,12,10,,,,"Sevilla","1ª",1977,34
50,11,37,39,14,8,13,,,,"Real Sociedad","1ª",1977,34
49,12,37,33,13,10,12,,,,"Valencia","1ª",1977,34
49,13,42,39,14,7,15,,,,"Hércules","1ª",1977,34
48,14,41,38,13,9,13,,,,"Ath. Bilbao","1ª",1977,34
48,15,36,63,13,9,19,,,,"Burgos","1ª",1977,34
47,16,53,39,13,8,10,,,,"Salamanca","1ª",1977,34
44,17,36,36,10,14,10,,1,,"Zaragoza","1ª",1977,34
32,18,33,29,7,11,12,,1,,"Málaga (C.D.)","1ª",1977,34
65,1,51,45,18,11,13,1,,,"Cádiz","2ª",1977,38
60,2,42,32,16,12,11,1,,,"Valladolid","2ª",1977,38
58,3,42,32,15,13,10,1,,,"Jaén","2ª",1977,38
58,4,58,50,17,7,16,,,,"Rayo Vallecano","2ª",1977,38
57,5,33,44,15,12,13,,,,"Oviedo","2ª",1977,38
56,6,39,43,15,11,15,,,,"Rec. Huelva","2ª",1977,38
55,7,42,51,15,10,15,,,,"Calvo Sotelo","2ª",1977,38
54,8,36,38,15,9,16,,,,"Tenerife","2ª",1977,38
54,9,44,38,15,9,12,,,,"Castellón","2ª",1977,38
53,10,25,32,14,11,14,,,,"Granada","2ª",1977,38
51,11,49,51,13,12,12,,,,"Sant Andreu","2ª",1977,38
49,12,32,37,14,7,16,,,,"Sporting Gijón","2ª",1977,38
47,13,37,48,12,11,15,,,,"Getafe","2ª",1977,38
46,14,35,45,12,10,16,,,,"Terrassa","2ª",1977,38
43,15,22,44,10,13,14,,,,"Dptivo. Coruña","2ª",1977,38
43,16,37,50,11,10,18,,,,"Pontevedra","2ª",1977,38
42,17,45,46,11,9,16,,,,"Córdoba","2ª",1977,38
42,18,46,52,10,12,13,,,,"Barcelona B","2ª",1977,38
37,19,37,48,10,7,21,,,,"Levante","2ª",1977,38
37,20,35,45,10,7,18,,,,"Alavés","2ª",1977,38
77,1,49,29,23,8,6,,,1,"At. Madrid","1ª",1978,34
72,2,45,29,21,9,8,,,1,"Real Madrid","1ª",1978,34
67,3,41,21,19,10,6,,,1,"Barcelona","1ª",1978,34
62,4,29,36,16,14,13,,,1,"Betis","1ª",1978,34
58,5,37,33,16,10,12,,,1,"Valencia","1ª",1978,34
57,6,45,29,15,12,10,,,,"Sevilla","1ª",1978,34
56,7,48,27,15,11,7,,,,"Espanyol","1ª",1978,34
55,8,48,28,15,10,8,,,,"Elche","1ª",1978,34
54,9,41,38,15,9,13,,,,"Ath. Bilbao","1ª",1978,34
53,10,41,37,15,8,12,,,,"Rac. Santander","1ª",1978,34
52,11,58,50,15,7,16,,,,"Rayo Vallecano","1ª",1978,34
50,12,53,39,14,8,10,,,,"Salamanca","1ª",1978,34
46,13,32,37,13,7,16,,,,"Sporting Gijón","1ª",1978,34
44,14,51,45,11,11,13,,,,"Cádiz","1ª",1978,34
44,15,37,39,12,8,13,,,,"Real Sociedad","1ª",1978,34
43,16,42,39,12,7,15,,,,"Hércules","1ª",1978,34
42,17,36,63,11,9,19,,1,,"Burgos","1ª",1978,34
39,18,38,44,10,9,14,,1,,"Las Palmas","1ª",1978,34
69,1,61,26,19,12,8,1,,,"Murcia","2ª",1978,38
68,2,36,36,18,14,10,1,,,"Zaragoza","2ª",1978,38
66,3,42,32,18,12,11,1,,,"Valladolid","2ª",1978,38
65,4,39,43,18,11,15,,,,"Rec. Huelva","2ª",1978,38
